Time,Commitment,Opinion
0,1,1
5,1,1;1;1;1;1
10,5,1;1;1;1;1
15,4,5;5;5;5;5
20,1,4;4;4;4;4
25,1,1;1;1;1;1
30,2,1;1;1;1;1
35,4,2;2;2;2;2
40,4,4;4;4;4;4
45,5,4;4;4;4;4
50,2,5;5;5;5;5
55,4,2;2;2;2;2
60,2,4;4;4;4;4
65,5,2;2;2;2;2
70,5,5;5;5;5;5
75,5,5;5;5;5;5
80,5,5;5;5;5;5
85,5,5;5;5;5;5
90,2,5;5;5;5;5
95,4,2;2;2;2;2
100,4,4;4;4;4;4
105,2,4;4;4;4;4
110,5,2;2;2;2;2
115,4,5;5;5;5;5
120,5,4;4;4;4;4
125,4,5;5;5;5;5
130,4,4;4;4;4;4
135,5,4;4;4;4;4
140,4,5;5;5;5;5
145,5,4;4;4;4;4
150,4,5;5;5;5;5
155,4,4;4;4;4;4
160,5,4;4;4;4;4
165,4,5;5;5;5;5
170,5,4;4;4;4;4
175,3,5;5;5;5;5
180,4,3;3;3;3;3
185,5,4;4;4;4;4
190,3,5;5;5;5;5
195,4,3;3;3;3;3
200,4,4;4;4;4;4
205,5,4;4;4;4;4
210,3,5;5;5;5;5
215,4,3;3;3;3;3
220,5,4;4;4;4;4
225,5,5;5;5;5;5
230,3,5;5;5;5;5
235,3,3;3;3;3;3
240,5,3;3;3;3;3
245,4,5;5;5;5;5
250,4,4;4;4;4;4
255,4,4;4;4;4;4
260,3,4;4;4;4;4
265,3,3;3;3;3;3
270,3,3;3;3;3;3
275,5,3;3;3;3;3
280,4,5;5;5;5;5
285,3,4;4;4;4;4
290,3,3;3;3;3;3
295,3,3;3;3;3;3
300,4,3;3;3;3;3
305,5,4;4;4;4;4
310,4,5;5;5;5;5
315,2,4;4;4;4;4
320,5,2;2;2;2;2
325,4,5;5;5;5;5
330,5,4;4;4;4;4
335,3,5;5;5;5;5
340,2,3;3;3;3;3
345,3,2;2;2;2;2
350,3,3;3;3;3;3
355,5,3;3;3;3;3
360,1,5;5;5;5;5
365,5,1;1;1;1;1
370,3,5;5;5;5;5
375,3,3;3;3;3;3
380,4,3;3;3;3;3
385,4,4;4;4;4;4
390,5,4;4;4;4;4
395,3,5;5;5;5;5
400,5,3;3;3;3;3
405,4,5;5;5;5;5
410,3,4;4;4;4;4
415,4,3;3;3;3;3
420,3,4;4;4;4;4
425,3,3;3;3;3;3
430,2,3;3;3;3;3
435,4,2;2;2;2;2
440,3,4;4;4;4;4
445,4,3;3;3;3;3
450,4,4;4;4;4;4
455,4,4;4;4;4;4
460,4,4;4;4;4;4
465,5,4;4;4;4;4
470,2,5;5;5;5;5
475,4,2;2;2;2;2
480,5,4;4;4;4;4
485,3,5;5;5;5;5
490,3,3;3;3;3;3
495,3,3;3;3;3;3
500,4,3;3;3;3;3
505,2,4;4;4;4;4
510,3,2;2;2;2;2
515,3,3;3;3;3;3
520,2,3;3;3;3;3
525,3,2;2;2;2;2
530,3,3;3;3;3;3
535,3,3;3;3;3;3
540,3,3;3;3;3;3
545,3,3;3;3;3;3
550,3,3;3;3;3;3
555,3,3;3;3;3;3
560,3,3;3;3;3;3
565,3,3;3;3;3;3
570,5,3;3;3;3;3
575,3,5;5;5;5;5
580,5,3;3;3;3;3
585,5,5;5;5;5;5
590,5,5;5;5;5;5
595,3,5;5;5;5;5
600,3,3;3;3;3;3
605,5,3;3;3;3;3
610,5,5;5;5;5;5
615,3,5;5;5;5;5
620,5,3;3;3;3;3
625,3,5;5;5;5;5
630,3,3;3;3;3;3
635,3,3;3;3;3;3
